
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008959                       # Number of seconds simulated (Second)
simTicks                                   8959261000                       # Number of ticks simulated (Tick)
finalTick                                  8959261000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    114.68                       # Real time elapsed on the host (Second)
hostTickRate                                 78124701                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     676604                       # Number of bytes of host memory used (Byte)
simInsts                                     18490166                       # Number of instructions simulated (Count)
simOps                                       32899465                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   161234                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     286883                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          8959262                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.484542                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.063805                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        32933041                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       77                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       32967928                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     91                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                33647                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             52776                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  41                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8934941                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.689776                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.848636                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.btb.lookups::Return       481004     19.73%     19.73% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallDirect       481013     19.73%     39.46% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::CallIndirect           89      0.00%     39.47% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectCond      1084609     44.49%     83.96% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::DirectUncond       330774     13.57%     97.53% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectCond            0      0.00%     97.53% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::IndirectUncond        60230      2.47%    100.00% # Number of BTB lookups (Count)
system.cpu.branchPred.btb.lookups::total      2437719                       # Number of BTB lookups (Count)
system.cpu.branchPred.btb.misses::NoBranch            0      0.00%      0.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::Return       481004     49.89%     49.89% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallDirect          331      0.03%     49.93% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::CallIndirect           89      0.01%     49.94% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectCond       422248     43.80%     93.74% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::DirectUncond          160      0.02%     93.75% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectCond            0      0.00%     93.75% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::IndirectUncond        60230      6.25%    100.00% # Number of BTB misses (Count)
system.cpu.branchPred.btb.misses::total        964062                       # Number of BTB misses (Count)
system.cpu.branchPred.btb.updates::NoBranch            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::Return            0      0.00%      0.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallDirect          187     25.07%     25.07% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::CallIndirect            0      0.00%     25.07% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectCond          439     58.85%     83.91% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::DirectUncond          120     16.09%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectCond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::IndirectUncond            0      0.00%    100.00% # Number of BTB updates (Count)
system.cpu.branchPred.btb.updates::total          746                       # Number of BTB updates (Count)
system.cpu.branchPred.btb.mispredict::NoBranch            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::Return            0      0.00%      0.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallDirect          187     25.07%     25.07% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::CallIndirect            0      0.00%     25.07% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectCond          439     58.85%     83.91% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::DirectUncond          120     16.09%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectCond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::IndirectUncond            0      0.00%    100.00% # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.mispredict::total          746                       # Number of BTB mispredictions. No target found or target wrong. (Count)
system.cpu.branchPred.btb.power_state.pwrStateResidencyTicks::UNDEFINED   8959261000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.branchPred.indirectBranchPred.lookups        60319                       # Number of lookups (Count)
system.cpu.branchPred.indirectBranchPred.hits        60068                       # Number of hits of a tag (Count)
system.cpu.branchPred.indirectBranchPred.misses          251                       # Number of misses (Count)
system.cpu.branchPred.indirectBranchPred.targetRecords           92                       # Number of targets that where recorded/installed in the cache (Count)
system.cpu.branchPred.indirectBranchPred.indirectRecords        60411                       # Number of indirect branches/calls recorded in the indirect hist (Count)
system.cpu.branchPred.indirectBranchPred.speculativeOverflows            1                       # Number of times more than the allowed capacity for speculative branches/calls where in flight and destroy the path history (Count)
system.cpu.branchPred.ras.pushes               481927                       # Number of times a PC was pushed onto the RAS (Count)
system.cpu.branchPred.ras.pops                 481922                       # Number of times a PC was poped from the RAS (Count)
system.cpu.branchPred.ras.squashes               1743                       # Number of times the stack operation was squashed due to wrong speculation. (Count)
system.cpu.branchPred.ras.used                 480179                       # Number of times the RAS is the provider (Count)
system.cpu.branchPred.ras.correct              480179                       # Number of times the RAS is the provider and the prediction is correct (Count)
system.cpu.branchPred.ras.incorrect                 0                       # Number of times the RAS is the provider and the prediction is wrong (Count)
system.cpu.commit.commitSquashedInsts           33298                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              36                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts               595                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      8929861                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     3.684208                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.183785                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          993421     11.12%     11.12% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         2528952     28.32%     39.44% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         1252938     14.03%     53.48% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          748093      8.38%     61.85% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          262924      2.94%     64.80% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           98511      1.10%     65.90% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           81194      0.91%     66.81% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          121681      1.36%     68.17% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         2842147     31.83%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      8929861                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          24                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls                480184                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass       570210      1.73%      1.73% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     11897056     36.16%     37.90% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult       150004      0.46%     38.35% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv       210021      0.64%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          172      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     38.99% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd       112178      0.34%     39.33% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     39.33% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu      9057796     27.53%     66.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     66.86% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt       180042      0.55%     67.41% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc       120211      0.37%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMatMultAcc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            3      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMatMultAcc            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     67.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowAdd         7830      0.02%     67.80% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowAddAcc            0      0.00%     67.80% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowAlu        60046      0.18%     67.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowCmp            0      0.00%     67.98% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowCvt        60006      0.18%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowMisc           21      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowMult            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowMultAcc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowMatMultAcc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowShift            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowShiftAcc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowDiv            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowSqrt            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatAdd            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatAlu            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatCmp            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatCvt            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatDiv            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatMisc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatMult            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatMultAcc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatMatMultAcc            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatSqrt            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowReduceAdd            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowReduceAlu            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowReduceCmp            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatReduceAdd            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShadowFloatReduceCmp            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::Matrix            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixMov            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MatrixOP            0      0.00%     68.16% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead      6301786     19.15%     87.32% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite      3931427     11.95%     99.27% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead       240123      0.73%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemWrite          533      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdStridedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdIndexedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatExt            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdConfig            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::total     32899465                       # Class of committed instruction (Count)
system.cpu.commit.commitEligibleSamples       2842147                       # number cycles where commit BW limit reached (Cycle)
system.cpu.commitStats0.numInsts             18490166                       # Number of instructions committed (thread level) (Count)
system.cpu.commitStats0.numOps               32899465                       # Number of ops (including micro ops) committed (thread level) (Count)
system.cpu.commitStats0.numInstsNotNOP       18490166                       # Number of instructions committed excluding NOPs or prefetches (Count)
system.cpu.commitStats0.numOpsNotNOP         32899465                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.commitStats0.cpi                  0.484542                       # CPI: cycles per instruction (thread level) ((Cycle/Count))
system.cpu.commitStats0.ipc                  2.063805                       # IPC: instructions per cycle (thread level) ((Count/Cycle))
system.cpu.commitStats0.numMemRefs           10473869                       # Number of memory references committed (Count)
system.cpu.commitStats0.numFpInsts             713410                       # Number of float instructions (Count)
system.cpu.commitStats0.numIntInsts          22580901                       # Number of integer instructions (Count)
system.cpu.commitStats0.numLoadInsts          6541909                       # Number of load instructions (Count)
system.cpu.commitStats0.numStoreInsts         3931960                       # Number of store instructions (Count)
system.cpu.commitStats0.numVecInsts           9125652                       # Number of vector instructions (Count)
system.cpu.commitStats0.committedInstType::No_OpClass       570210      1.73%      1.73% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntAlu     11897056     36.16%     37.90% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntMult       150004      0.46%     38.35% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IntDiv       210021      0.64%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatAdd          172      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCmp            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatCvt            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMult            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMultAcc            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatDiv            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMisc            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatSqrt            0      0.00%     38.99% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAdd       112178      0.34%     39.33% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAddAcc            0      0.00%     39.33% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAlu      9057796     27.53%     66.86% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCmp            0      0.00%     66.86% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdCvt       180042      0.55%     67.41% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMisc       120211      0.37%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMult            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMultAcc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdMatMultAcc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShift            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShiftAcc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdDiv            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSqrt            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAdd            3      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatAlu            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCmp            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatCvt            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatDiv            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMisc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMult            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMultAcc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatMatMultAcc            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatSqrt            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAdd            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceAlu            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdReduceCmp            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceAdd            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdFloatReduceCmp            0      0.00%     67.78% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowAdd         7830      0.02%     67.80% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowAddAcc            0      0.00%     67.80% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowAlu        60046      0.18%     67.98% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowCmp            0      0.00%     67.98% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowCvt        60006      0.18%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowMisc           21      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowMult            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowMultAcc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowMatMultAcc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowShift            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowShiftAcc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowDiv            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowSqrt            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatAdd            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatAlu            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatCmp            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatCvt            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatDiv            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatMisc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatMult            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatMultAcc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatMatMultAcc            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowFloatSqrt            0      0.00%     68.16% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShadowReduceAdd            0      0.00%     68.16% # Class of committed instruction. (Count)
